inspection_id,mine_id,inspection_type,inspector_role,department,inspection_date,inspection_time,latitude,longitude,zone,checklist_score_pct,observation_summary,photo_count,video_count,severity,inspection_status,geo_tagged,time_stamped,data_source
INSP-00001,M001,Contractor Inspection,Mechanical Engineer,Mechanical,2026-06-05,17:15:00,22.349321,82.690539,Main Incline,83,Contractor Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00002,M001,Electrical Inspection,Mine Foreman,Safety,2026-07-12,09:45:00,22.340029,82.702334,Panel-1,84,Electrical Inspection completed; no major deviation observed,1,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00003,M001,Blasting Area Inspection,Safety Officer,Environment,2026-06-23,19:15:00,22.355803,82.699827,Workshop,83,Blasting Area Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00004,M001,Blasting Area Inspection,Safety Officer,Mechanical,2026-08-22,14:00:00,22.35595,82.693947,Panel-2,58,Blast exclusion/signage deficiency,3,1,HIGH,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00005,M001,Blasting Area Inspection,Safety Officer,Safety,2026-08-03,09:15:00,22.341937,82.691522,Coal Face,50,Blast exclusion/signage deficiency,3,1,LOW,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00006,M001,Mechanical Inspection,Environment Officer,Safety,2026-06-07,06:15:00,22.362642,82.679358,Workshop,83,Mechanical Inspection completed; no major deviation observed,1,1,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00007,M001,Statutory Checklist,Safety Officer,Operations,2026-08-05,07:45:00,22.342453,82.696729,Main Incline,84,Statutory Checklist completed; no major deviation observed,4,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00008,M001,Statutory Checklist,Electrical Engineer,Operations,2026-07-06,10:15:00,22.357104,82.681385,East Pit,99,Statutory Checklist completed; no major deviation observed,2,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00009,M001,Mechanical Inspection,Safety Officer,Safety,2026-08-19,17:45:00,22.361465,82.694454,Water Station,87,Mechanical Inspection completed; no major deviation observed,4,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00010,M001,Safety Inspection,Mine Foreman,Electrical,2026-08-12,12:45:00,22.357222,82.68546,Coal Face,77,Unsafe condition identified,5,0,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
INSP-00011,M001,Blasting Area Inspection,Mine Foreman,Environment,2026-07-15,12:30:00,22.345453,82.697927,Water Station,95,Blasting Area Inspection completed; no major deviation observed,3,0,LOW,CLOSED,YES,YES,MOBILE_APP_DEMO
INSP-00012,M001,Electrical Inspection,Mine Foreman,Mechanical,2026-06-14,12:30:00,22.360784,82.676704,Panel-1,69,Electrical housekeeping / guarding issue observed,2,1,MEDIUM,ACTION_REQUIRED,YES,YES,MOBILE_APP_DEMO
