incident_id,mine_id,incident_type,accident_classification,date,time,shift,zone,latitude,longitude,people_affected,equipment_involved,contractor_id,root_cause,severity,description,investigation_status,corrective_action_status,data_source
INC-00001,M001,UNSAFE_CONDITION,Unsafe Condition,2025-11-16,19:00:00,C,West Dump,22.352449,82.679813,0,Pump,CTR-0003,Electrical fault,MEDIUM,Synthetic unsafe condition record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00002,M001,NEAR_MISS,Near Miss,2025-09-10,09:00:00,A,Panel-2,22.352716,82.698838,0,Dumper,,Haul-road condition,HIGH,Synthetic near miss record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00003,M001,SERIOUS_ACCIDENT,Serious Accident,2026-06-18,17:00:00,A,Pit,22.358101,82.676339,1,None,,Poor housekeeping,CRITICAL,Synthetic serious accident record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00004,M001,SERIOUS_ACCIDENT,Serious Accident,2026-05-11,21:30:00,C,Main Incline,22.365783,82.683599,1,Continuous Miner,,Electrical fault,CRITICAL,Synthetic serious accident record for analytics,UNDER_INVESTIGATION,CLOSED,DEMO_SYNTHETIC
INC-00005,M001,MINOR_ACCIDENT,Minor Accident,2025-11-03,23:00:00,C,Panel-1,22.356261,82.678752,1,Shuttle Car,CTR-0003,Vehicle interaction,MEDIUM,Synthetic minor accident record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00006,M001,UNSAFE_CONDITION,Unsafe Condition,2026-01-31,12:15:00,C,Pit,22.35865,82.681854,0,None,,Slope/rock fall,MEDIUM,Synthetic unsafe condition record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00007,M001,MINOR_ACCIDENT,Minor Accident,2026-06-26,11:45:00,A,Coal Face,22.362141,82.693335,1,Continuous Miner,,Vehicle interaction,MEDIUM,Synthetic minor accident record for analytics,OPEN,CLOSED,DEMO_SYNTHETIC
INC-00008,M001,NEAR_MISS,Near Miss,2026-07-07,06:15:00,A,Main Incline,22.349219,82.702788,0,Dumper,,Haul-road condition,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,CLOSED,DEMO_SYNTHETIC
INC-00009,M001,UNSAFE_CONDITION,Unsafe Condition,2025-12-23,10:30:00,C,Panel-2,22.364094,82.691666,0,Shuttle Car,,Blasting control,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00010,M001,UNSAFE_ACT,Unsafe Act,2026-05-20,16:30:00,C,Panel-1,22.360214,82.682173,0,Pump,CTR-0002,Haul-road condition,MEDIUM,Synthetic unsafe act record for analytics,OPEN,OPEN,DEMO_SYNTHETIC
INC-00011,M001,SERIOUS_ACCIDENT,Serious Accident,2026-08-03,00:15:00,B,Pit,22.360019,82.678792,1,Conveyor,,Blasting control,CRITICAL,Synthetic serious accident record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00012,M001,NEAR_MISS,Near Miss,2026-05-04,14:45:00,C,Coal Face,22.344062,82.68373,0,None,,Electrical fault,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,CLOSED,DEMO_SYNTHETIC
INC-00013,M001,NEAR_MISS,Near Miss,2026-05-09,04:45:00,C,Workshop,22.340949,82.690412,0,Conveyor,CTR-0003,Machine guarding,HIGH,Synthetic near miss record for analytics,OPEN,CLOSED,DEMO_SYNTHETIC
INC-00014,M001,NEAR_MISS,Near Miss,2026-02-05,13:45:00,A,Panel-2,22.362862,82.694058,0,Excavator,,Slope/rock fall,HIGH,Synthetic near miss record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00015,M001,NEAR_MISS,Near Miss,2026-03-08,01:00:00,C,Panel-1,22.344374,82.690625,0,Conveyor,CTR-0003,Machine guarding,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00016,M001,UNSAFE_CONDITION,Unsafe Condition,2025-10-17,22:15:00,C,Haul Road H3,22.363975,82.685252,0,Dumper,,Machine guarding,MEDIUM,Synthetic unsafe condition record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00017,M001,NEAR_MISS,Near Miss,2026-02-23,05:30:00,A,Workshop,22.350946,82.680591,0,Shuttle Car,CTR-0002,Slope/rock fall,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,CLOSED,DEMO_SYNTHETIC
INC-00018,M001,NEAR_MISS,Near Miss,2026-03-18,02:15:00,B,Panel-1,22.356084,82.687691,0,Dumper,CTR-0001,Electrical fault,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,CLOSED,DEMO_SYNTHETIC
INC-00019,M001,UNSAFE_CONDITION,Unsafe Condition,2026-01-19,09:30:00,A,Panel-2,22.359885,82.692426,0,Excavator,CTR-0001,Slope/rock fall,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,OPEN,DEMO_SYNTHETIC
INC-00020,M001,SERIOUS_ACCIDENT,Serious Accident,2025-12-28,10:30:00,A,Pit,22.344021,82.702058,1,Conveyor,,Poor housekeeping,CRITICAL,Synthetic serious accident record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00021,M001,MINOR_ACCIDENT,Minor Accident,2026-02-01,22:15:00,C,Workshop,22.357325,82.701395,1,Excavator,,Electrical fault,MEDIUM,Synthetic minor accident record for analytics,OPEN,OPEN,DEMO_SYNTHETIC
INC-00022,M001,NEAR_MISS,Near Miss,2026-03-19,07:15:00,C,Coal Face,22.357765,82.688191,0,Dumper,CTR-0002,Blasting control,HIGH,Synthetic near miss record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00023,M001,UNSAFE_CONDITION,Unsafe Condition,2026-01-15,03:45:00,C,Panel-2,22.359906,82.680153,0,Conveyor,,Electrical fault,MEDIUM,Synthetic unsafe condition record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00024,M001,NEAR_MISS,Near Miss,2026-06-05,10:30:00,C,Pit,22.362362,82.702614,0,Continuous Miner,,Machine guarding,HIGH,Synthetic near miss record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00025,M002,MINOR_ACCIDENT,Minor Accident,2026-08-14,13:15:00,A,Panel-2,23.748778,86.425097,1,Excavator,CTR-0006,Poor housekeeping,MEDIUM,Synthetic minor accident record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00026,M002,NEAR_MISS,Near Miss,2026-06-21,13:15:00,A,Main Incline,23.74612,86.435168,0,Pump,,Roof/strata fall,HIGH,Synthetic near miss record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00027,M002,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2026-06-30,09:30:00,C,Coal Face,23.761958,86.412669,0,Excavator,CTR-0005,Electrical fault,HIGH,Synthetic dangerous occurrence record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00028,M002,NEAR_MISS,Near Miss,2026-05-28,20:45:00,A,Coal Face,23.755018,86.431368,0,None,CTR-0005,Poor housekeeping,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00029,M002,NEAR_MISS,Near Miss,2025-11-04,14:00:00,C,West Dump,23.747287,86.429318,0,Dumper,CTR-0005,Roof/strata fall,HIGH,Synthetic near miss record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00030,M002,NEAR_MISS,Near Miss,2025-11-21,19:45:00,C,Panel-2,23.767553,86.43183,0,Excavator,CTR-0006,Poor housekeeping,HIGH,Synthetic near miss record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00031,M002,UNSAFE_CONDITION,Unsafe Condition,2026-03-20,12:15:00,A,Pit,23.746007,86.426687,0,None,,Underground transport,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,OPEN,DEMO_SYNTHETIC
INC-00032,M002,MINOR_ACCIDENT,Minor Accident,2025-10-16,19:15:00,B,Panel-1,23.765908,86.433857,1,Pump,,Underground transport,MEDIUM,Synthetic minor accident record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00033,M002,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2025-11-05,05:15:00,B,Workshop,23.753301,86.431512,0,Dumper,,Water ingress,HIGH,Synthetic dangerous occurrence record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00034,M002,MINOR_ACCIDENT,Minor Accident,2026-04-24,16:45:00,B,Panel-1,23.755603,86.434982,1,Excavator,CTR-0005,Machine interaction,MEDIUM,Synthetic minor accident record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00035,M002,UNSAFE_CONDITION,Unsafe Condition,2025-12-17,02:30:00,C,West Dump,23.754131,86.416507,0,Conveyor,,Roof/strata fall,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00036,M002,UNSAFE_CONDITION,Unsafe Condition,2026-05-19,20:45:00,C,Workshop,23.766462,86.413793,0,Dumper,CTR-0005,Water ingress,MEDIUM,Synthetic unsafe condition record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00037,M002,SERIOUS_ACCIDENT,Serious Accident,2026-08-17,17:30:00,A,Workshop,23.754585,86.424301,1,Dumper,,Machine interaction,CRITICAL,Synthetic serious accident record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00038,M002,UNSAFE_CONDITION,Unsafe Condition,2026-06-10,11:30:00,A,West Dump,23.744185,86.419231,0,Shuttle Car,,Machine interaction,MEDIUM,Synthetic unsafe condition record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00039,M002,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2026-03-10,15:15:00,C,Main Incline,23.767518,86.411264,0,Dumper,,Water ingress,HIGH,Synthetic dangerous occurrence record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00040,M002,SERIOUS_ACCIDENT,Serious Accident,2026-08-20,03:00:00,A,Workshop,23.760504,86.416681,1,Dumper,,Water ingress,CRITICAL,Synthetic serious accident record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00041,M002,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2026-03-27,12:00:00,C,Workshop,23.748432,86.407506,0,Shuttle Car,,Water ingress,HIGH,Synthetic dangerous occurrence record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00042,M002,NEAR_MISS,Near Miss,2026-05-17,09:00:00,C,Workshop,23.762339,86.411879,0,None,CTR-0005,Poor housekeeping,HIGH,Synthetic near miss record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00043,M002,UNSAFE_CONDITION,Unsafe Condition,2026-04-18,21:45:00,C,Pit,23.769124,86.423574,0,Conveyor,,Underground transport,MEDIUM,Synthetic unsafe condition record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00044,M002,NEAR_MISS,Near Miss,2026-01-21,18:00:00,C,Main Incline,23.75155,86.429627,0,Shuttle Car,,Water ingress,HIGH,Synthetic near miss record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00045,M002,MINOR_ACCIDENT,Minor Accident,2026-02-23,12:15:00,C,Pit,23.755063,86.419935,1,Pump,CTR-0006,Roof/strata fall,MEDIUM,Synthetic minor accident record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00046,M002,UNSAFE_CONDITION,Unsafe Condition,2026-05-20,03:30:00,B,Panel-1,23.756682,86.41268,0,Continuous Miner,CTR-0004,Poor housekeeping,MEDIUM,Synthetic unsafe condition record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00047,M002,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2025-11-15,23:45:00,A,West Dump,23.757284,86.417256,0,None,CTR-0005,Water ingress,HIGH,Synthetic dangerous occurrence record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00048,M002,UNSAFE_CONDITION,Unsafe Condition,2025-12-08,04:00:00,A,Main Incline,23.764795,86.423161,0,Conveyor,,Roof/strata fall,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00049,M003,NEAR_MISS,Near Miss,2026-05-11,00:15:00,C,Panel-1,20.942722,85.174159,0,Excavator,,Electrical fault,HIGH,Synthetic near miss record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00050,M003,FATAL_ACCIDENT,Fatal Accident,2026-04-02,15:00:00,B,Panel-2,20.949591,85.161148,1,Excavator,CTR-0007,Machine guarding,CRITICAL,Synthetic fatal accident record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00051,M003,NEAR_MISS,Near Miss,2026-07-03,09:15:00,A,Panel-2,20.947848,85.177956,0,Continuous Miner,CTR-0009,Vehicle interaction,HIGH,Synthetic near miss record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00052,M003,NEAR_MISS,Near Miss,2025-11-25,09:45:00,C,Panel-1,20.94891,85.163614,0,None,CTR-0009,Machine guarding,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00053,M003,UNSAFE_CONDITION,Unsafe Condition,2025-11-07,04:15:00,A,Coal Face,20.945702,85.171837,0,Continuous Miner,,Haul-road condition,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00054,M003,UNSAFE_CONDITION,Unsafe Condition,2026-04-17,09:30:00,C,Panel-1,20.938793,85.174882,0,Conveyor,CTR-0008,Slope/rock fall,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00055,M003,NEAR_MISS,Near Miss,2026-06-08,13:30:00,A,Pit,20.940623,85.17671,0,Excavator,CTR-0007,Machine guarding,HIGH,Synthetic near miss record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00056,M003,UNSAFE_CONDITION,Unsafe Condition,2026-04-05,13:15:00,C,Workshop,20.951117,85.166309,0,Shuttle Car,,Blasting control,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,OPEN,DEMO_SYNTHETIC
INC-00057,M003,UNSAFE_ACT,Unsafe Act,2026-08-26,13:45:00,B,Main Incline,20.938776,85.173968,0,Excavator,CTR-0007,Machine guarding,MEDIUM,Synthetic unsafe act record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00058,M003,SERIOUS_ACCIDENT,Serious Accident,2026-06-22,18:00:00,C,West Dump,20.95848,85.177628,1,None,,Haul-road condition,CRITICAL,Synthetic serious accident record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00059,M003,NEAR_MISS,Near Miss,2025-10-05,18:45:00,C,Haul Road H3,20.959602,85.182545,0,Shuttle Car,,Slope/rock fall,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00060,M003,NEAR_MISS,Near Miss,2025-11-05,23:15:00,A,Haul Road H3,20.946063,85.156976,0,Continuous Miner,,Slope/rock fall,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00061,M003,UNSAFE_ACT,Unsafe Act,2025-10-16,10:30:00,B,Haul Road H3,20.936575,85.184014,0,None,,Vehicle interaction,MEDIUM,Synthetic unsafe act record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00062,M003,NEAR_MISS,Near Miss,2026-03-24,13:30:00,A,Panel-2,20.951677,85.171856,0,Conveyor,,Blasting control,HIGH,Synthetic near miss record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00063,M003,UNSAFE_CONDITION,Unsafe Condition,2025-11-26,15:45:00,A,West Dump,20.956835,85.159171,0,Pump,,Machine guarding,MEDIUM,Synthetic unsafe condition record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00064,M003,NEAR_MISS,Near Miss,2026-06-13,13:45:00,C,Pit,20.936897,85.160691,0,Pump,,Electrical fault,HIGH,Synthetic near miss record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00065,M003,UNSAFE_CONDITION,Unsafe Condition,2025-11-19,20:30:00,B,Workshop,20.944813,85.180836,0,Pump,,Blasting control,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,CLOSED,DEMO_SYNTHETIC
INC-00066,M003,NEAR_MISS,Near Miss,2025-10-28,14:30:00,B,Coal Face,20.940562,85.164716,0,Continuous Miner,CTR-0009,Vehicle interaction,HIGH,Synthetic near miss record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00067,M003,NEAR_MISS,Near Miss,2026-07-21,23:15:00,C,Workshop,20.954042,85.181226,0,Conveyor,,Slope/rock fall,HIGH,Synthetic near miss record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00068,M003,UNSAFE_CONDITION,Unsafe Condition,2025-10-28,09:15:00,B,Pit,20.935616,85.164684,0,Conveyor,CTR-0009,Electrical fault,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00069,M003,UNSAFE_ACT,Unsafe Act,2026-05-08,23:00:00,C,Coal Face,20.940931,85.168034,0,Pump,,Vehicle interaction,MEDIUM,Synthetic unsafe act record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00070,M003,UNSAFE_ACT,Unsafe Act,2026-04-21,04:45:00,B,Main Incline,20.953819,85.155509,0,None,CTR-0008,Vehicle interaction,MEDIUM,Synthetic unsafe act record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00071,M003,NEAR_MISS,Near Miss,2026-02-09,15:00:00,C,Panel-2,20.956202,85.183505,0,Conveyor,,Haul-road condition,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00072,M003,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2026-02-16,02:15:00,A,West Dump,20.941745,85.15892,0,Continuous Miner,CTR-0007,Machine guarding,HIGH,Synthetic dangerous occurrence record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00073,M004,NEAR_MISS,Near Miss,2026-03-22,21:15:00,B,West Dump,18.720606,79.533535,0,Dumper,,Machine interaction,HIGH,Synthetic near miss record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00074,M004,UNSAFE_ACT,Unsafe Act,2026-08-05,18:45:00,A,Panel-1,18.726456,79.508906,0,Continuous Miner,CTR-0011,Roof/strata fall,MEDIUM,Synthetic unsafe act record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00075,M004,SERIOUS_ACCIDENT,Serious Accident,2025-11-30,22:00:00,C,Workshop,18.718393,79.509577,1,None,,Machine interaction,CRITICAL,Synthetic serious accident record for analytics,OPEN,OPEN,DEMO_SYNTHETIC
INC-00076,M004,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2025-12-27,01:45:00,C,Panel-2,18.735801,79.512832,0,Pump,,Electrical fault,HIGH,Synthetic dangerous occurrence record for analytics,OPEN,IN_PROGRESS,DEMO_SYNTHETIC
INC-00077,M004,UNSAFE_CONDITION,Unsafe Condition,2025-12-09,13:00:00,A,Pit,18.743348,79.521093,0,Excavator,CTR-0012,Electrical fault,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,OPEN,DEMO_SYNTHETIC
INC-00078,M004,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2026-06-22,02:45:00,C,Main Incline,18.718951,79.517433,0,Continuous Miner,,Poor housekeeping,HIGH,Synthetic dangerous occurrence record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00079,M004,NEAR_MISS,Near Miss,2026-08-08,10:30:00,A,Workshop,18.720538,79.534383,0,None,,Roof/strata fall,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00080,M004,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2025-10-27,09:00:00,C,West Dump,18.741138,79.515693,0,Continuous Miner,CTR-0010,Gas/ventilation,HIGH,Synthetic dangerous occurrence record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00081,M004,NEAR_MISS,Near Miss,2026-04-15,15:00:00,A,Panel-1,18.743961,79.508381,0,None,,Water ingress,HIGH,Synthetic near miss record for analytics,OPEN,OPEN,DEMO_SYNTHETIC
INC-00082,M004,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2025-11-18,14:30:00,A,West Dump,18.719515,79.520739,0,None,CTR-0010,Water ingress,HIGH,Synthetic dangerous occurrence record for analytics,OPEN,CLOSED,DEMO_SYNTHETIC
INC-00083,M004,UNSAFE_CONDITION,Unsafe Condition,2026-08-21,10:15:00,A,Coal Face,18.729638,79.519052,0,Excavator,,Machine interaction,MEDIUM,Synthetic unsafe condition record for analytics,OPEN,CLOSED,DEMO_SYNTHETIC
INC-00084,M004,NEAR_MISS,Near Miss,2026-07-20,20:45:00,C,Pit,18.72545,79.511649,0,None,,Gas/ventilation,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00085,M004,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2025-09-13,13:00:00,B,Coal Face,18.736219,79.513215,0,Shuttle Car,,Machine interaction,HIGH,Synthetic dangerous occurrence record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00086,M004,NEAR_MISS,Near Miss,2026-07-21,21:00:00,A,Main Incline,18.721605,79.510645,0,Dumper,,Poor housekeeping,HIGH,Synthetic near miss record for analytics,CLOSED,OPEN,DEMO_SYNTHETIC
INC-00087,M004,DANGEROUS_OCCURRENCE,Dangerous Occurrence,2026-04-04,19:45:00,A,Coal Face,18.738744,79.508177,0,Dumper,CTR-0012,Roof/strata fall,HIGH,Synthetic dangerous occurrence record for analytics,OPEN,CLOSED,DEMO_SYNTHETIC
INC-00088,M004,UNSAFE_ACT,Unsafe Act,2026-07-05,21:45:00,A,Pit,18.742095,79.532251,0,Dumper,,Gas/ventilation,MEDIUM,Synthetic unsafe act record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00089,M004,NEAR_MISS,Near Miss,2026-01-27,05:15:00,A,West Dump,18.734473,79.534498,0,Pump,CTR-0010,Roof/strata fall,HIGH,Synthetic near miss record for analytics,CLOSED,CLOSED,DEMO_SYNTHETIC
INC-00090,M004,NEAR_MISS,Near Miss,2025-12-17,05:15:00,A,West Dump,18.730976,79.519713,0,Dumper,,Underground transport,HIGH,Synthetic near miss record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00091,M004,NEAR_MISS,Near Miss,2026-07-12,09:45:00,B,Coal Face,18.742786,79.517547,0,Excavator,CTR-0010,Poor housekeeping,HIGH,Synthetic near miss record for analytics,UNDER_INVESTIGATION,OPEN,DEMO_SYNTHETIC
INC-00092,M004,UNSAFE_CONDITION,Unsafe Condition,2026-03-01,21:30:00,B,Panel-2,18.729968,79.510763,0,Excavator,,Gas/ventilation,MEDIUM,Synthetic unsafe condition record for analytics,UNDER_INVESTIGATION,IN_PROGRESS,DEMO_SYNTHETIC
INC-00093,M004,UNSAFE_CONDITION,Unsafe Condition,2025-09-20,12:30:00,B,Panel-2,18.726459,79.519467,0,Dumper,,Electrical fault,MEDIUM,Synthetic unsafe condition record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
INC-00094,M004,FATAL_ACCIDENT,Fatal Accident,2026-04-01,10:30:00,A,Haul Road H3,18.717756,79.520631,1,Excavator,,Machine interaction,CRITICAL,Synthetic fatal accident record for analytics,UNDER_INVESTIGATION,CLOSED,DEMO_SYNTHETIC
INC-00095,M004,MINOR_ACCIDENT,Minor Accident,2026-06-02,15:30:00,A,Panel-1,18.719416,79.516432,1,Conveyor,,Water ingress,MEDIUM,Synthetic minor accident record for analytics,CLOSED,IN_PROGRESS,DEMO_SYNTHETIC
