reading_id,mine_id,station_id,parameter,value,unit,configured_min,configured_max,latitude,longitude,timestamp,source,compliance_status,exceedance_pct,threshold_source,data_note
ENV-0000001,M001,ENV-ST-M001-02,PM2.5,49.66,ug/m3,,60,22.358112,82.693474,2026-09-02T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000002,M001,ENV-ST-M001-03,PM10,103.46,ug/m3,,100,22.344638,82.683553,2026-09-02T22:00:00,DEMO_MONITORING_FEED,EXCEEDED,3.5,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000003,M001,ENV-ST-M001-01,SO2,39.42,ug/m3,,80,22.350046,82.685316,2026-09-02T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000004,M001,ENV-ST-M001-02,NO2,50.48,ug/m3,,80,22.348263,82.699269,2026-09-02T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000005,M001,ENV-ST-M001-03,CO,1.7,mg/m3,,4,22.352584,82.698553,2026-09-02T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000006,M001,ENV-ST-M001-01,pH,7.25,pH,6.5,8.5,22.344105,82.684087,2026-09-02T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000007,M001,ENV-ST-M001-01,TSS,85.51,mg/L,,100,22.346334,82.691877,2026-09-02T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000008,M001,ENV-ST-M001-01,TDS,838.65,mg/L,,2100,22.355888,82.691086,2026-09-02T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000009,M001,ENV-ST-M001-01,COD,109.17,mg/L,,250,22.350057,82.698424,2026-09-02T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000010,M001,ENV-ST-M001-03,BOD,12.83,mg/L,,30,22.352679,82.685531,2026-09-02T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000011,M001,ENV-ST-M001-03,Oil_Grease,4.09,mg/L,,10,22.355217,82.687813,2026-09-02T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000012,M001,ENV-ST-M001-02,Noise,95.16,dB(A),,85,22.349697,82.696551,2026-09-02T22:00:00,DEMO_MONITORING_FEED,EXCEEDED,12.0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000013,M001,ENV-ST-M001-01,PM2.5,51.19,ug/m3,,60,22.342191,82.683828,2026-08-30T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000014,M001,ENV-ST-M001-02,PM10,109.18,ug/m3,,100,22.343571,82.686499,2026-08-30T14:00:00,DEMO_MONITORING_FEED,EXCEEDED,9.2,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000015,M001,ENV-ST-M001-01,SO2,33.57,ug/m3,,80,22.348259,82.686391,2026-08-30T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000016,M001,ENV-ST-M001-01,NO2,59.64,ug/m3,,80,22.343677,82.68115,2026-08-30T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000017,M001,ENV-ST-M001-02,CO,2.11,mg/m3,,4,22.353546,82.683563,2026-08-30T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000018,M001,ENV-ST-M001-03,pH,6.44,pH,6.5,8.5,22.357075,82.699863,2026-08-30T22:00:00,DEMO_MONITORING_FEED,EXCEEDED,3.0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000019,M001,ENV-ST-M001-01,TSS,88.08,mg/L,,100,22.349747,82.68592,2026-08-30T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000020,M001,ENV-ST-M001-01,TDS,1545.28,mg/L,,2100,22.346052,82.699751,2026-08-30T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000021,M001,ENV-ST-M001-02,COD,138.33,mg/L,,250,22.346912,82.686114,2026-08-30T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000022,M001,ENV-ST-M001-01,BOD,20.87,mg/L,,30,22.348822,82.68014,2026-08-30T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000023,M001,ENV-ST-M001-03,Oil_Grease,6.98,mg/L,,10,22.35665,82.695006,2026-08-30T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000024,M001,ENV-ST-M001-03,Noise,91.03,dB(A),,85,22.353051,82.691462,2026-08-30T06:00:00,DEMO_MONITORING_FEED,EXCEEDED,7.1,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000025,M001,ENV-ST-M001-03,PM2.5,70.66,ug/m3,,60,22.345275,82.683375,2026-08-27T14:00:00,DEMO_MONITORING_FEED,EXCEEDED,17.8,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000026,M001,ENV-ST-M001-02,PM10,157.57,ug/m3,,100,22.342979,82.683187,2026-08-27T22:00:00,DEMO_MONITORING_FEED,EXCEEDED,57.6,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000027,M001,ENV-ST-M001-03,SO2,37.82,ug/m3,,80,22.349991,82.681637,2026-08-27T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000028,M001,ENV-ST-M001-01,NO2,59.78,ug/m3,,80,22.352215,82.694525,2026-08-27T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000029,M001,ENV-ST-M001-02,CO,0.7,mg/m3,,4,22.352094,82.694237,2026-08-27T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000030,M001,ENV-ST-M001-02,pH,9.1,pH,6.5,8.5,22.352939,82.685802,2026-08-27T14:00:00,DEMO_MONITORING_FEED,EXCEEDED,30.0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000031,M001,ENV-ST-M001-01,TSS,83.91,mg/L,,100,22.350219,82.687129,2026-08-27T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000032,M001,ENV-ST-M001-02,TDS,1351.9,mg/L,,2100,22.343791,82.693361,2026-08-27T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000033,M001,ENV-ST-M001-02,COD,211.72,mg/L,,250,22.3536,82.688106,2026-08-27T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000034,M001,ENV-ST-M001-03,BOD,22.03,mg/L,,30,22.349685,82.691799,2026-08-27T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000035,M001,ENV-ST-M001-02,Oil_Grease,4.39,mg/L,,10,22.357649,82.690137,2026-08-27T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000036,M001,ENV-ST-M001-03,Noise,83.68,dB(A),,85,22.359096,82.688326,2026-08-27T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000037,M001,ENV-ST-M001-01,PM2.5,43.49,ug/m3,,60,22.34321,82.697183,2026-08-24T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000038,M001,ENV-ST-M001-01,PM10,91.88,ug/m3,,100,22.345443,82.683954,2026-08-24T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000039,M001,ENV-ST-M001-02,SO2,38.23,ug/m3,,80,22.350913,82.687461,2026-08-24T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000040,M001,ENV-ST-M001-01,NO2,30.77,ug/m3,,80,22.349227,82.690686,2026-08-24T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000041,M001,ENV-ST-M001-03,CO,1.03,mg/m3,,4,22.358711,82.688525,2026-08-24T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000042,M001,ENV-ST-M001-03,pH,7.4,pH,6.5,8.5,22.353718,82.686556,2026-08-24T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000043,M001,ENV-ST-M001-03,TSS,85.05,mg/L,,100,22.351188,82.685865,2026-08-24T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000044,M001,ENV-ST-M001-03,TDS,1250.74,mg/L,,2100,22.361354,82.692874,2026-08-24T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000045,M001,ENV-ST-M001-01,COD,154.75,mg/L,,250,22.359612,82.695815,2026-08-24T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000046,M001,ENV-ST-M001-02,BOD,23.12,mg/L,,30,22.356077,82.693202,2026-08-24T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000047,M001,ENV-ST-M001-03,Oil_Grease,7.4,mg/L,,10,22.343493,82.698123,2026-08-24T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000048,M001,ENV-ST-M001-01,Noise,91.45,dB(A),,85,22.352569,82.680944,2026-08-24T06:00:00,DEMO_MONITORING_FEED,EXCEEDED,7.6,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000049,M001,ENV-ST-M001-01,PM2.5,53.33,ug/m3,,60,22.354461,82.682314,2026-08-21T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000050,M001,ENV-ST-M001-02,PM10,106.2,ug/m3,,100,22.359122,82.680478,2026-08-21T06:00:00,DEMO_MONITORING_FEED,EXCEEDED,6.2,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000051,M001,ENV-ST-M001-03,SO2,43.78,ug/m3,,80,22.342643,82.699699,2026-08-21T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000052,M001,ENV-ST-M001-03,NO2,66.57,ug/m3,,80,22.361031,82.695804,2026-08-21T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000053,M001,ENV-ST-M001-01,CO,1.99,mg/m3,,4,22.349217,82.696057,2026-08-21T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000054,M001,ENV-ST-M001-01,pH,7.05,pH,6.5,8.5,22.344333,82.68573,2026-08-21T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000055,M001,ENV-ST-M001-01,TSS,70.6,mg/L,,100,22.353465,82.698087,2026-08-21T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000056,M001,ENV-ST-M001-01,TDS,1008.56,mg/L,,2100,22.352935,82.696479,2026-08-21T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000057,M001,ENV-ST-M001-03,COD,121.11,mg/L,,250,22.35129,82.685291,2026-08-21T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000058,M001,ENV-ST-M001-03,BOD,15.24,mg/L,,30,22.344679,82.697391,2026-08-21T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000059,M001,ENV-ST-M001-03,Oil_Grease,4.55,mg/L,,10,22.345261,82.697009,2026-08-21T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000060,M001,ENV-ST-M001-01,Noise,97.17,dB(A),,85,22.36174,82.685793,2026-08-21T06:00:00,DEMO_MONITORING_FEED,EXCEEDED,14.3,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000061,M001,ENV-ST-M001-01,PM2.5,50.43,ug/m3,,60,22.355486,82.696977,2026-08-18T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000062,M001,ENV-ST-M001-01,PM10,89.04,ug/m3,,100,22.353021,82.689504,2026-08-18T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000063,M001,ENV-ST-M001-01,SO2,53.11,ug/m3,,80,22.34918,82.691259,2026-08-18T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000064,M001,ENV-ST-M001-02,NO2,67.38,ug/m3,,80,22.361608,82.693841,2026-08-18T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000065,M001,ENV-ST-M001-03,CO,1.04,mg/m3,,4,22.358811,82.682589,2026-08-18T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000066,M001,ENV-ST-M001-03,pH,6.27,pH,6.5,8.5,22.356987,82.68807,2026-08-18T22:00:00,DEMO_MONITORING_FEED,EXCEEDED,11.5,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000067,M001,ENV-ST-M001-02,TSS,48.45,mg/L,,100,22.356244,82.683107,2026-08-18T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000068,M001,ENV-ST-M001-03,TDS,1472.56,mg/L,,2100,22.347432,82.68465,2026-08-18T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000069,M001,ENV-ST-M001-02,COD,250.79,mg/L,,250,22.354389,82.68789,2026-08-18T14:00:00,DEMO_MONITORING_FEED,EXCEEDED,0.3,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000070,M001,ENV-ST-M001-03,BOD,20.48,mg/L,,30,22.360564,82.687958,2026-08-18T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000071,M001,ENV-ST-M001-03,Oil_Grease,3.21,mg/L,,10,22.356817,82.693785,2026-08-18T14:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000072,M001,ENV-ST-M001-01,Noise,96.45,dB(A),,85,22.350591,82.694511,2026-08-18T14:00:00,DEMO_MONITORING_FEED,EXCEEDED,13.5,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000073,M001,ENV-ST-M001-02,PM2.5,50.18,ug/m3,,60,22.352579,82.699936,2026-08-15T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000074,M001,ENV-ST-M001-01,PM10,115.28,ug/m3,,100,22.354819,82.689072,2026-08-15T14:00:00,DEMO_MONITORING_FEED,EXCEEDED,15.3,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000075,M001,ENV-ST-M001-03,SO2,48.19,ug/m3,,80,22.349262,82.689255,2026-08-15T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000076,M001,ENV-ST-M001-02,NO2,40.27,ug/m3,,80,22.343563,82.681421,2026-08-15T22:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000077,M001,ENV-ST-M001-02,CO,1.59,mg/m3,,4,22.352518,82.689427,2026-08-15T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000078,M001,ENV-ST-M001-02,pH,7.2,pH,6.5,8.5,22.355772,82.69826,2026-08-15T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000079,M001,ENV-ST-M001-01,TSS,79.52,mg/L,,100,22.354215,82.695949,2026-08-15T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
ENV-0000080,M001,ENV-ST-M001-02,TDS,1107.25,mg/L,,2100,22.351552,82.692095,2026-08-15T06:00:00,DEMO_MONITORING_FEED,COMPLIANT,0,DEMO_CONFIGURATION,"Configured thresholds are synthetic for software testing, not legal limits"
