equipment_id,mine_id,equipment_name,equipment_type,status,operating_hours_24h,idle_hours_24h,breakdown_hours_24h,fuel_consumption_l_24h,last_service,next_service,maintenance_status,health_score,latitude,longitude,assigned_operator_worker_id,telemetry_enabled,data_source
EQP-00001,M001,Shovel-M001-01,Shovel,MAINTENANCE_DUE,8.5,7.6,7.9,157.0,2026-08-17,2026-10-26,OK,51,22.346247,82.686936,WRK-00003,YES,DEMO_SYNTHETIC
EQP-00002,M001,Dozer-M001-02,Dozer,AVAILABLE,14.4,5.2,4.4,38.2,2026-05-24,2026-09-16,DUE_SOON,65,22.348217,82.690193,WRK-00017,NO,DEMO_SYNTHETIC
EQP-00003,M001,Excavator-M001-03,Excavator,AVAILABLE,13.7,5.3,5.0,103.9,2026-06-29,2026-08-28,OVERDUE,74,22.3583,82.704292,WRK-00020,YES,DEMO_SYNTHETIC
EQP-00004,M001,Drill-M001-04,Drill,MAINTENANCE_DUE,10.3,8.4,5.3,34.8,2026-07-26,2026-11-17,OK,61,22.353435,82.689922,WRK-00038,YES,DEMO_SYNTHETIC
EQP-00005,M001,Dumper-M001-05,Dumper,MAINTENANCE_DUE,15.1,4.8,4.1,85.9,2026-04-29,2026-08-20,OVERDUE,48,22.363511,82.698006,WRK-00045,YES,DEMO_SYNTHETIC
EQP-00006,M001,Drill-M001-06,Drill,AVAILABLE,11.0,5.7,7.3,178.4,2026-08-02,2026-11-20,OK,71,22.351843,82.692613,WRK-00026,YES,DEMO_SYNTHETIC
EQP-00007,M001,Dumper-M001-07,Dumper,AVAILABLE,11.7,6.4,5.9,47.8,2026-05-27,2026-09-18,DUE_SOON,75,22.359375,82.694517,WRK-00002,NO,DEMO_SYNTHETIC
EQP-00008,M001,Dozer-M001-08,Dozer,AVAILABLE,12.1,5.5,6.4,151.2,2026-06-23,2026-10-18,OK,69,22.363185,82.688839,WRK-00033,YES,DEMO_SYNTHETIC
EQP-00009,M001,Shovel-M001-09,Shovel,AVAILABLE,13.6,4.5,5.9,102.5,2026-04-16,2026-07-02,OVERDUE,71,22.341297,82.694479,WRK-00020,NO,DEMO_SYNTHETIC
EQP-00010,M001,Excavator-M001-10,Excavator,AVAILABLE,15.8,5.3,2.9,32.7,2026-04-13,2026-07-22,OVERDUE,67,22.361808,82.702855,WRK-00037,YES,DEMO_SYNTHETIC
EQP-00011,M002,LHD-M002-01,LHD,MAINTENANCE_DUE,10.0,5.3,8.7,95.3,2026-08-09,2026-10-30,OK,63,23.74555,86.433219,WRK-00063,YES,DEMO_SYNTHETIC
EQP-00012,M002,Shuttle Car-M002-02,Shuttle Car,MAINTENANCE_DUE,8.6,8.0,7.4,,2026-08-02,2026-10-20,OK,54,23.748253,86.429527,WRK-00090,YES,DEMO_SYNTHETIC
EQP-00013,M002,Continuous Miner-M002-03,Continuous Miner,MAINTENANCE_DUE,15.9,5.6,2.5,,2026-05-25,2026-09-11,DUE_SOON,61,23.743636,86.42705,WRK-00051,NO,DEMO_SYNTHETIC
EQP-00014,M002,Continuous Miner-M002-04,Continuous Miner,MAINTENANCE_DUE,14.2,5.3,4.5,,2026-07-02,2026-09-27,OK,52,23.755715,86.428022,WRK-00069,NO,DEMO_SYNTHETIC
EQP-00015,M002,Roof Bolter-M002-05,Roof Bolter,MAINTENANCE_DUE,12.6,3.3,8.1,,2026-04-16,2026-06-21,OVERDUE,63,23.748777,86.413559,WRK-00065,YES,DEMO_SYNTHETIC
EQP-00016,M002,Shuttle Car-M002-06,Shuttle Car,AVAILABLE,16.2,3.2,4.6,,2026-08-04,2026-11-07,OK,89,23.763087,86.409142,WRK-00054,YES,DEMO_SYNTHETIC
EQP-00017,M002,Pump-M002-07,Pump,AVAILABLE,15.8,3.1,5.1,,2026-05-24,2026-07-23,OVERDUE,69,23.759814,86.409981,WRK-00071,YES,DEMO_SYNTHETIC
EQP-00018,M002,Pump-M002-08,Pump,MAINTENANCE_DUE,17.9,3.4,2.7,,2026-07-16,2026-11-07,OK,51,23.767553,86.410009,WRK-00054,YES,DEMO_SYNTHETIC
EQP-00019,M002,Roof Bolter-M002-09,Roof Bolter,MAINTENANCE_DUE,14.4,4.6,5.0,,2026-06-24,2026-10-04,OK,58,23.746986,86.43049,WRK-00065,YES,DEMO_SYNTHETIC
EQP-00020,M002,Pump-M002-10,Pump,AVAILABLE,13.4,5.6,5.0,,2026-06-20,2026-10-18,OK,74,23.751555,86.415176,WRK-00087,YES,DEMO_SYNTHETIC
EQP-00021,M003,Drill-M003-01,Drill,AVAILABLE,17.3,2.2,4.5,37.9,2026-05-26,2026-09-22,DUE_SOON,70,20.957361,85.156417,WRK-00108,YES,DEMO_SYNTHETIC
EQP-00022,M003,Shovel-M003-02,Shovel,AVAILABLE,17.6,2.8,3.6,94.8,2026-07-12,2026-10-17,OK,82,20.948747,85.172084,WRK-00098,NO,DEMO_SYNTHETIC
EQP-00023,M003,Drill-M003-03,Drill,AVAILABLE,22.9,1.1,0,173.0,2026-07-14,2026-10-25,OK,66,20.938765,85.17007,WRK-00122,NO,DEMO_SYNTHETIC
EQP-00024,M003,Dozer-M003-04,Dozer,MAINTENANCE_DUE,21.3,2.7,0,170.3,2026-05-09,2026-07-12,OVERDUE,64,20.94896,85.182013,WRK-00120,YES,DEMO_SYNTHETIC
EQP-00025,M003,Dumper-M003-05,Dumper,AVAILABLE,20.5,3.5,0,23.3,2026-05-23,2026-09-18,DUE_SOON,93,20.941159,85.155025,WRK-00122,YES,DEMO_SYNTHETIC
EQP-00026,M003,Drill-M003-06,Drill,AVAILABLE,18.4,2.3,3.3,68.2,2026-05-07,2026-07-10,OVERDUE,89,20.947497,85.175401,WRK-00126,NO,DEMO_SYNTHETIC
EQP-00027,M003,Shovel-M003-07,Shovel,AVAILABLE,19.6,1.8,2.6,173.9,2026-04-27,2026-08-01,OVERDUE,82,20.936762,85.156402,WRK-00111,NO,DEMO_SYNTHETIC
EQP-00028,M003,Shovel-M003-08,Shovel,AVAILABLE,19.4,0,4.6,24.5,2026-04-26,2026-07-04,OVERDUE,67,20.935901,85.170146,WRK-00128,YES,DEMO_SYNTHETIC
EQP-00029,M003,Dumper-M003-09,Dumper,AVAILABLE,14.5,8.6,0.9,56.2,2026-05-06,2026-08-15,OVERDUE,88,20.943355,85.17473,WRK-00125,YES,DEMO_SYNTHETIC
EQP-00030,M003,Drill-M003-10,Drill,AVAILABLE,16.3,4.2,3.5,59.7,2026-05-11,2026-08-25,OVERDUE,83,20.947787,85.170443,WRK-00101,YES,DEMO_SYNTHETIC
EQP-00031,M004,Continuous Miner-M004-01,Continuous Miner,AVAILABLE,18.7,5.3,0,,2026-06-13,2026-08-14,OVERDUE,71,18.728808,79.509611,WRK-00177,YES,DEMO_SYNTHETIC
EQP-00032,M004,Roof Bolter-M004-02,Roof Bolter,AVAILABLE,18.0,3.5,2.5,,2026-04-13,2026-06-13,OVERDUE,74,18.733178,79.514337,WRK-00151,NO,DEMO_SYNTHETIC
EQP-00033,M004,Shuttle Car-M004-03,Shuttle Car,AVAILABLE,11.5,5.9,6.6,,2026-07-24,2026-10-12,OK,78,18.744145,79.527553,WRK-00176,YES,DEMO_SYNTHETIC
EQP-00034,M004,Ventilation Fan-M004-04,Ventilation Fan,MAINTENANCE_DUE,15.7,3.6,4.7,,2026-08-11,2026-10-14,OK,63,18.730836,79.531541,WRK-00158,NO,DEMO_SYNTHETIC
EQP-00035,M004,Continuous Miner-M004-05,Continuous Miner,AVAILABLE,12.7,4.7,6.6,,2026-08-17,2026-12-14,OK,82,18.721048,79.524365,WRK-00136,YES,DEMO_SYNTHETIC
EQP-00036,M004,Roof Bolter-M004-06,Roof Bolter,AVAILABLE,21.8,0.7,1.5,,2026-05-15,2026-07-23,OVERDUE,69,18.716165,79.523998,WRK-00149,YES,DEMO_SYNTHETIC
EQP-00037,M004,Ventilation Fan-M004-07,Ventilation Fan,AVAILABLE,11.8,6.8,5.4,,2026-08-14,2026-11-18,OK,98,18.724033,79.510439,WRK-00156,NO,DEMO_SYNTHETIC
EQP-00038,M004,Ventilation Fan-M004-08,Ventilation Fan,AVAILABLE,15.7,5.9,2.4,,2026-07-10,2026-09-20,DUE_SOON,73,18.72278,79.529497,WRK-00151,NO,DEMO_SYNTHETIC
EQP-00039,M004,LHD-M004-09,LHD,AVAILABLE,16.3,4.4,3.3,89.0,2026-08-03,2026-10-14,OK,70,18.725938,79.533121,WRK-00148,NO,DEMO_SYNTHETIC
EQP-00040,M004,Pump-M004-10,Pump,AVAILABLE,14.4,2.0,7.6,,2026-06-18,2026-08-29,OVERDUE,82,18.727785,79.515914,WRK-00174,NO,DEMO_SYNTHETIC
EQP-00041,M005,Surface Miner-M005-01,Surface Miner,AVAILABLE,17.3,4.0,2.7,75.3,2026-04-09,2026-06-30,OVERDUE,78,24.182108,82.690896,WRK-00199,YES,DEMO_SYNTHETIC
EQP-00042,M005,Surface Miner-M005-02,Surface Miner,AVAILABLE,16.7,3.5,3.8,79.5,2026-05-02,2026-08-15,OVERDUE,77,24.161433,82.665373,WRK-00215,YES,DEMO_SYNTHETIC
EQP-00043,M005,Shovel-M005-03,Shovel,AVAILABLE,17.6,4.2,2.2,171.9,2026-04-16,2026-07-06,OVERDUE,84,24.181297,82.689948,WRK-00221,YES,DEMO_SYNTHETIC
EQP-00044,M005,Shovel-M005-04,Shovel,MAINTENANCE_DUE,18.0,2.1,3.9,77.7,2026-07-08,2026-09-21,DUE_SOON,63,24.173244,82.67956,WRK-00221,YES,DEMO_SYNTHETIC
EQP-00045,M005,Dozer-M005-05,Dozer,AVAILABLE,16.6,4.8,2.6,139.3,2026-06-13,2026-08-17,OVERDUE,98,24.166731,82.688112,WRK-00191,YES,DEMO_SYNTHETIC
EQP-00046,M005,Surface Miner-M005-06,Surface Miner,AVAILABLE,22.4,0.7,0.9,68.5,2026-05-28,2026-09-16,DUE_SOON,71,24.180021,82.690538,WRK-00211,YES,DEMO_SYNTHETIC
EQP-00047,M005,Surface Miner-M005-07,Surface Miner,AVAILABLE,17.3,4.9,1.8,156.5,2026-08-20,2026-11-17,OK,98,24.167893,82.671585,WRK-00181,YES,DEMO_SYNTHETIC
EQP-00048,M005,Shovel-M005-08,Shovel,MAINTENANCE_DUE,10.9,6.3,6.8,154.6,2026-06-17,2026-09-20,DUE_SOON,54,24.164479,82.692989,WRK-00184,YES,DEMO_SYNTHETIC
EQP-00049,M005,Surface Miner-M005-09,Surface Miner,AVAILABLE,21.3,0.6,2.1,68.8,2026-07-03,2026-09-03,DUE_SOON,96,24.184897,82.688633,WRK-00197,YES,DEMO_SYNTHETIC
EQP-00050,M005,Dozer-M005-10,Dozer,AVAILABLE,19.0,3.1,1.9,174.0,2026-08-15,2026-10-17,OK,90,24.157494,82.665381,WRK-00214,YES,DEMO_SYNTHETIC
EQP-00051,M006,Dozer-M006-01,Dozer,MAINTENANCE_DUE,12.7,4.2,7.1,118.9,2026-06-17,2026-09-28,OK,50,20.014651,79.293246,WRK-00254,YES,DEMO_SYNTHETIC
EQP-00052,M006,Dumper-M006-02,Dumper,AVAILABLE,16.5,3.5,4.0,33.4,2026-06-02,2026-09-26,OK,71,20.023516,79.287135,WRK-00263,YES,DEMO_SYNTHETIC
EQP-00053,M006,Dozer-M006-03,Dozer,MAINTENANCE_DUE,9.4,6.5,8.1,61.0,2026-04-08,2026-06-19,OVERDUE,51,20.006675,79.295012,WRK-00270,NO,DEMO_SYNTHETIC
EQP-00054,M006,Excavator-M006-04,Excavator,MAINTENANCE_DUE,18.8,4.9,0.3,26.5,2026-05-25,2026-09-19,DUE_SOON,56,20.018345,79.287616,WRK-00236,YES,DEMO_SYNTHETIC
EQP-00055,M006,Dozer-M006-05,Dozer,AVAILABLE,15.2,4.2,4.6,176.1,2026-08-03,2026-12-01,OK,65,20.005671,79.299738,WRK-00252,YES,DEMO_SYNTHETIC
EQP-00056,M006,Continuous Miner-M006-06,Continuous Miner,MAINTENANCE_DUE,12.6,6.4,5.0,,2026-05-28,2026-09-23,OK,62,20.010362,79.300508,WRK-00230,NO,DEMO_SYNTHETIC
EQP-00057,M006,Continuous Miner-M006-07,Continuous Miner,AVAILABLE,14.1,2.3,7.6,,2026-05-30,2026-08-17,OVERDUE,67,20.006006,79.307735,WRK-00237,NO,DEMO_SYNTHETIC
EQP-00058,M006,Roof Bolter-M006-08,Roof Bolter,AVAILABLE,15.8,4.1,4.1,,2026-05-25,2026-08-22,OVERDUE,66,19.998938,79.287749,WRK-00250,YES,DEMO_SYNTHETIC
EQP-00059,M006,Pump-M006-09,Pump,MAINTENANCE_DUE,10.6,9.1,4.3,,2026-06-19,2026-09-30,OK,56,20.018354,79.311736,WRK-00228,YES,DEMO_SYNTHETIC
EQP-00060,M006,Dumper-M006-10,Dumper,MAINTENANCE_DUE,20.5,2.5,1.0,38.0,2026-07-21,2026-11-14,OK,64,20.024705,79.310648,WRK-00249,YES,DEMO_SYNTHETIC
EQP-00061,M007,Continuous Miner-M007-01,Continuous Miner,AVAILABLE,18.7,0.2,5.1,,2026-05-20,2026-09-03,DUE_SOON,95,23.615264,87.1276,WRK-00280,NO,DEMO_SYNTHETIC
EQP-00062,M007,Underground Conveyor-M007-02,Underground Conveyor,AVAILABLE,19.2,1.4,3.4,,2026-07-20,2026-11-12,OK,91,23.61432,87.13298,WRK-00279,YES,DEMO_SYNTHETIC
EQP-00063,M007,LHD-M007-03,LHD,AVAILABLE,12.3,7.1,4.6,67.0,2026-05-07,2026-07-27,OVERDUE,70,23.629228,87.124729,WRK-00305,NO,DEMO_SYNTHETIC
EQP-00064,M007,Shuttle Car-M007-04,Shuttle Car,AVAILABLE,15.7,4.0,4.3,,2026-05-08,2026-08-07,OVERDUE,85,23.612386,87.128611,WRK-00309,YES,DEMO_SYNTHETIC
EQP-00065,M007,Roof Bolter-M007-05,Roof Bolter,MAINTENANCE_DUE,18.0,2.6,3.4,,2026-05-03,2026-08-24,OVERDUE,56,23.615748,87.1193,WRK-00315,YES,DEMO_SYNTHETIC
EQP-00066,M007,Pump-M007-06,Pump,AVAILABLE,17.0,2.1,4.9,,2026-04-12,2026-07-15,OVERDUE,67,23.627099,87.128067,WRK-00290,YES,DEMO_SYNTHETIC
EQP-00067,M007,Pump-M007-07,Pump,AVAILABLE,12.8,2.9,8.3,,2026-07-10,2026-10-09,OK,88,23.632539,87.114553,WRK-00303,NO,DEMO_SYNTHETIC
EQP-00068,M007,Roof Bolter-M007-08,Roof Bolter,AVAILABLE,16.2,4.2,3.6,,2026-06-15,2026-09-11,DUE_SOON,89,23.634159,87.10554,WRK-00298,YES,DEMO_SYNTHETIC
EQP-00069,M007,Continuous Miner-M007-09,Continuous Miner,AVAILABLE,22.6,1.4,0,,2026-06-19,2026-10-10,OK,90,23.634795,87.130676,WRK-00312,YES,DEMO_SYNTHETIC
EQP-00070,M007,Ventilation Fan-M007-10,Ventilation Fan,BREAKDOWN,18.3,2.0,3.7,,2026-07-10,2026-10-11,OK,44,23.623109,87.134363,WRK-00285,YES,DEMO_SYNTHETIC
EQP-00071,M008,Shovel-M008-01,Shovel,AVAILABLE,15.6,2.0,6.4,123.8,2026-08-23,2026-10-30,OK,90,21.810225,83.919847,WRK-00336,YES,DEMO_SYNTHETIC
