contractor_id,mine_id,contractor_name,work_type,contract_start,contract_end,licence_expiry,insurance_expiry,worker_count,training_compliance_pct,ppe_compliance_pct,medical_compliance_pct,open_violations,incidents,overdue_actions,contractor_risk_score,status,data_source
CTR-0001,M001,Demo Contractor M001-1,Underground Development,2026-03-27,2027-04-04,2027-03-12,2027-01-17,21,83,81,87,2,3,3,71,HIGH_RISK,DEMO_SYNTHETIC
CTR-0002,M001,Demo Contractor M001-2,Drilling & Blasting,2025-06-05,2027-03-23,2027-02-07,2027-02-16,52,74,70,82,4,3,2,100,HIGH_RISK,DEMO_SYNTHETIC
CTR-0003,M001,Demo Contractor M001-3,Coal Transport,2024-06-08,2027-03-31,2027-07-09,2027-03-06,58,82,79,85,4,1,3,68,WATCH,DEMO_SYNTHETIC
CTR-0004,M002,Demo Contractor M002-1,Coal Transport,2025-03-07,2028-02-14,2027-04-04,2027-07-20,28,87,86,94,2,2,2,42,ACTIVE,DEMO_SYNTHETIC
CTR-0005,M002,Demo Contractor M002-2,Coal Transport,2025-07-18,2027-01-28,2027-02-05,2027-06-14,57,85,94,98,2,0,1,42,ACTIVE,DEMO_SYNTHETIC
CTR-0006,M002,Demo Contractor M002-3,Underground Development,2024-12-12,2028-02-22,2027-06-17,2027-04-01,57,85,90,96,3,0,2,43,ACTIVE,DEMO_SYNTHETIC
CTR-0007,M003,Demo Contractor M003-1,Drilling & Blasting,2025-11-06,2027-04-30,2026-10-28,2026-09-12,59,98,98,97,0,0,0,22,ACTIVE,DEMO_SYNTHETIC
CTR-0008,M003,Demo Contractor M003-2,Underground Development,2024-06-27,2027-10-14,2026-12-08,2027-02-09,60,89,85,96,4,1,2,42,ACTIVE,DEMO_SYNTHETIC
CTR-0009,M003,Demo Contractor M003-3,Overburden Removal,2025-06-11,2028-01-15,2027-02-22,2027-10-23,63,95,82,98,1,0,2,39,ACTIVE,DEMO_SYNTHETIC
CTR-0010,M004,Demo Contractor M004-1,Coal Transport,2024-04-14,2027-11-23,2027-01-28,2027-09-23,42,90,91,89,2,0,1,47,ACTIVE,DEMO_SYNTHETIC
CTR-0011,M004,Demo Contractor M004-2,Coal Transport,2026-05-02,2027-11-16,2027-02-17,2027-02-26,32,76,80,93,6,3,2,76,HIGH_RISK,DEMO_SYNTHETIC
CTR-0012,M004,Demo Contractor M004-3,Civil Works,2025-07-24,2027-10-16,2027-01-02,2027-05-27,38,86,94,90,4,2,0,40,ACTIVE,DEMO_SYNTHETIC
CTR-0013,M005,Demo Contractor M005-1,Coal Transport,2025-01-12,2026-11-24,2026-10-29,2027-07-05,55,87,89,95,2,0,2,39,ACTIVE,DEMO_SYNTHETIC
CTR-0014,M005,Demo Contractor M005-2,Electrical Maintenance,2024-08-03,2028-06-13,2026-09-26,2027-09-24,64,85,85,93,4,1,0,40,ACTIVE,DEMO_SYNTHETIC
CTR-0015,M005,Demo Contractor M005-3,Drilling & Blasting,2025-12-31,2027-01-14,2026-12-24,2027-06-01,17,90,83,98,1,1,0,41,ACTIVE,DEMO_SYNTHETIC
CTR-0016,M006,Demo Contractor M006-1,Overburden Removal,2026-02-27,2027-12-04,2027-08-16,2027-01-02,18,80,74,86,5,1,3,69,WATCH,DEMO_SYNTHETIC
CTR-0017,M006,Demo Contractor M006-2,Overburden Removal,2024-04-18,2028-06-01,2027-04-20,2027-09-23,14,88,89,91,0,0,0,35,ACTIVE,DEMO_SYNTHETIC
CTR-0018,M006,Demo Contractor M006-3,Drilling & Blasting,2025-01-13,2027-07-19,2027-07-30,2027-09-29,34,86,73,82,4,2,1,86,HIGH_RISK,DEMO_SYNTHETIC
CTR-0019,M007,Demo Contractor M007-1,Coal Transport,2025-01-06,2028-01-02,2027-03-14,2026-11-07,56,79,68,91,5,1,2,78,HIGH_RISK,DEMO_SYNTHETIC
CTR-0020,M007,Demo Contractor M007-2,Drilling & Blasting,2024-07-01,2027-06-04,2027-02-23,2026-12-23,18,100,94,99,1,1,0,25,ACTIVE,DEMO_SYNTHETIC
