production_id,mine_id,date,production_target_t,actual_production_t,coal_dispatch_t,opening_stock_t,closing_stock_t,overburden_removed_or_development_qty,production_loss_t,downtime_hours,loss_reason,achievement_percentage,data_source
PROD-000001,M001,2026-06-05,49315.1,41974.9,36962.7,28030.1,33042.3,152763.2,7340.2,2.8,,85.12,DEMO_SYNTHETIC
PROD-000002,M001,2026-06-06,49315.1,47253.0,39841.0,17532.2,24944.2,75179.2,2062.1,3.9,,95.82,DEMO_SYNTHETIC
PROD-000003,M001,2026-06-07,49315.1,42617.6,36906.2,32833.3,38544.7,91611.5,6697.5,0,,86.42,DEMO_SYNTHETIC
PROD-000004,M001,2026-06-08,49315.1,45434.7,40212.5,25504.6,30726.8,156569.0,3880.4,4.3,,92.13,DEMO_SYNTHETIC
PROD-000005,M001,2026-06-09,49315.1,42200.2,40022.6,27190.5,29368.1,100194.0,7114.9,0.4,,85.57,DEMO_SYNTHETIC
PROD-000006,M001,2026-06-10,49315.1,45612.4,43986.7,37450.9,39076.6,117662.8,3702.7,0,,92.49,DEMO_SYNTHETIC
PROD-000007,M001,2026-06-11,49315.1,36508.2,35257.9,17898.9,19149.2,120149.9,12806.9,2.1,Haul Road Constraint,74.03,DEMO_SYNTHETIC
PROD-000008,M001,2026-06-12,49315.1,44930.6,41070.8,42778.2,46638.0,161527.2,4384.5,1.8,,91.11,DEMO_SYNTHETIC
PROD-000009,M001,2026-06-13,49315.1,38130.5,36390.4,11232.4,12972.5,62216.9,11184.6,5.3,Heavy Rainfall,77.32,DEMO_SYNTHETIC
PROD-000010,M001,2026-06-14,49315.1,47174.1,43119.2,32586.7,36641.6,146993.9,2141.0,2.3,,95.66,DEMO_SYNTHETIC
PROD-000011,M001,2026-06-15,49315.1,52715.6,49129.0,8927.3,12513.9,64514.6,0,2.4,,106.9,DEMO_SYNTHETIC
PROD-000012,M001,2026-06-16,49315.1,45400.5,38259.9,30089.6,37230.2,69933.0,3914.6,7.8,,92.06,DEMO_SYNTHETIC
PROD-000013,M001,2026-06-17,49315.1,43243.7,42185.3,35622.6,36681.0,163278.4,6071.4,1.6,,87.69,DEMO_SYNTHETIC
PROD-000014,M001,2026-06-18,49315.1,46524.7,43809.2,22847.8,25563.3,93660.6,2790.4,4.9,,94.34,DEMO_SYNTHETIC
PROD-000015,M001,2026-06-19,49315.1,43961.4,40087.9,11825.4,15698.9,87362.2,5353.7,6.1,,89.14,DEMO_SYNTHETIC
PROD-000016,M001,2026-06-20,49315.1,50423.1,47358.3,26388.0,29452.8,177754.6,0,6.0,,102.25,DEMO_SYNTHETIC
PROD-000017,M001,2026-06-21,49315.1,42060.5,37848.9,38984.0,43195.6,56486.7,7254.6,1.5,,85.29,DEMO_SYNTHETIC
PROD-000018,M001,2026-06-22,49315.1,43084.5,37439.3,23853.7,29498.9,107238.5,6230.6,3.2,,87.37,DEMO_SYNTHETIC
PROD-000019,M001,2026-06-23,49315.1,46134.8,43370.1,43174.2,45938.9,107096.0,3180.3,3.1,,93.55,DEMO_SYNTHETIC
PROD-000020,M001,2026-06-24,49315.1,45719.9,40625.8,43379.9,48474.0,121777.9,3595.2,5.0,,92.71,DEMO_SYNTHETIC
PROD-000021,M001,2026-06-25,49315.1,35379.4,31762.3,18139.9,21757.0,76449.7,13935.7,4.1,Heavy Rainfall,71.74,DEMO_SYNTHETIC
PROD-000022,M001,2026-06-26,49315.1,43138.8,38135.0,42501.0,47504.8,85214.2,6176.3,4.1,,87.48,DEMO_SYNTHETIC
PROD-000023,M001,2026-06-27,49315.1,50333.2,47561.1,25215.1,27987.2,135772.8,0,0,,102.06,DEMO_SYNTHETIC
PROD-000024,M001,2026-06-28,49315.1,46181.1,45171.7,27350.9,28360.3,95487.3,3134.0,2.1,,93.64,DEMO_SYNTHETIC
PROD-000025,M001,2026-06-29,49315.1,42674.8,40370.7,29341.5,31645.6,120729.3,6640.3,0.1,,86.53,DEMO_SYNTHETIC
PROD-000026,M001,2026-06-30,49315.1,41407.9,34675.3,15534.6,22267.2,64390.6,7907.2,0.8,,83.97,DEMO_SYNTHETIC
PROD-000027,M001,2026-07-01,49315.1,51018.0,44329.8,13325.7,20013.9,176125.7,0,3.8,,103.45,DEMO_SYNTHETIC
PROD-000028,M001,2026-07-02,49315.1,45559.9,43976.3,37323.7,38907.3,92435.8,3755.2,2.2,,92.39,DEMO_SYNTHETIC
PROD-000029,M001,2026-07-03,49315.1,42832.8,36555.7,14452.6,20729.7,145707.4,6482.3,2.3,,86.86,DEMO_SYNTHETIC
PROD-000030,M001,2026-07-04,49315.1,45204.9,39728.7,27289.3,32765.5,60409.8,4110.2,4.4,,91.67,DEMO_SYNTHETIC
PROD-000031,M001,2026-07-05,49315.1,48198.6,43426.0,26975.9,31748.5,153256.2,1116.5,1.9,,97.74,DEMO_SYNTHETIC
PROD-000032,M001,2026-07-06,49315.1,44906.6,43440.5,41565.5,43031.6,121356.9,4408.5,0,,91.06,DEMO_SYNTHETIC
PROD-000033,M001,2026-07-07,49315.1,46991.8,43524.0,15570.7,19038.5,70180.2,2323.3,1.3,,95.29,DEMO_SYNTHETIC
PROD-000034,M001,2026-07-08,49315.1,38158.2,32852.3,26661.4,31967.3,78158.9,11156.9,3.4,Maintenance Shutdown,77.38,DEMO_SYNTHETIC
PROD-000035,M001,2026-07-09,49315.1,41529.0,38837.1,16634.7,19326.6,113279.0,7786.1,2.7,,84.21,DEMO_SYNTHETIC
PROD-000036,M001,2026-07-10,49315.1,24057.0,22352.7,37177.0,38881.3,53350.9,25258.1,0.9,Haul Road Constraint,48.78,DEMO_SYNTHETIC
PROD-000037,M001,2026-07-11,49315.1,46457.7,38506.7,38936.5,46887.5,145405.6,2857.4,1.0,,94.21,DEMO_SYNTHETIC
PROD-000038,M001,2026-07-12,49315.1,42286.0,40164.2,36242.3,38364.1,126267.8,7029.1,2.6,,85.75,DEMO_SYNTHETIC
